Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,S
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 13:36:40,"3.1108167, 101.613615",97 meter,33
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:59:34,"3.1111536, 101.6121908",80 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 13:00:19,"3.10897, 101.6115383",148 meter,1
3,PETRONAS (OPP ) – JLN SS4B/10,"3.10790754483897, 101.60644396198",2019-06-02 13:01:39,"3.1074267, 101.6077883",159 meter,2
4,RUMAH NO. 28/TOP SPEED – JLN SS4B/10,"3.10946518685449, 101.603688366379",2019-06-02 13:02:24,"3.10934, 101.60516",164 meter,3
5,KUARTERS  PDRM – JLN SS4B/10,"3.10945518937511, 101.599495808303",2019-06-02 13:02:59,"3.10944, 101.6003633",96 meter,4
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 13:03:24,"3.1095217, 101.5968383",121 meter,5
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",2019-06-02 13:05:50,"3.1014817, 101.5991033",103 meter,6
8,P’PURI PKNS/JEJARI RESTORAN – JLN SS6/3,"3.10229623315117, 101.600390567679",2019-06-02 13:06:20,"3.1027117, 101.6004567",47 meter,7
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",2019-06-02 13:06:25,"3.1032033, 101.600455",41 meter,8
10,P’RAYA GIANT/PERUMAHAN POLIS – JLN SS5/2,"3.10502300000004, 101.600682",2019-06-02 13:07:00,"3.1045233, 101.6004083",63 meter,9
11,SEK KEB KELANA JAYA – JLN SS5/2,"3.104795, 101.607201",2019-06-02 13:08:20,"3.1053467, 101.6059567",151 meter,10
12,RUMAH NO. 24 – JLN SS5/1,"3.10310809833283, 101.606752545247",2019-06-02 13:09:10,"3.1036017, 101.6070983",67 meter,11
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",2019-06-02 13:09:35,"3.10189, 101.6060067",108 meter,12
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",2019-06-02 13:10:20,"3.0988833, 101.6039367",161 meter,13
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",2019-06-02 13:10:55,"3.0971833, 101.6046317",18 meter,14
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",2019-06-02 13:11:05,"3.0968483, 101.6051633",44 meter,15
17,YAYASAN TAIWAN BUDDHIST (OPP)– JLN 5A/14,"3.09602704547199, 101.606265160397",2019-06-02 13:11:20,"3.09624, 101.605875",49 meter,16
18,MASJID HIDAYAH – JLN MAJLIS,"3.09899537677687, 101.607111585593",2019-06-02 13:12:30,"3.0986967, 101.6071167",33 meter,17
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 13:13:40,"3.1018217, 101.609",47 meter,18
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 13:14:15,"3.1016017, 101.611655",186 meter,19
21,SIMPANG JLN SS1/38 – JLN SS1/36,"3.104599, 101.61648",2019-06-02 13:15:45,"3.1029, 101.6164117",188 meter,20
22,NURSERI (OPP)– JLN SS1/36,"3.108636, 101.616465",2019-06-02 13:16:45,"3.1075083, 101.6161683",129 meter,21
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 13:17:10,"3.1095717, 101.6171533",78 meter,22
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:59:34,"3.1111536, 101.6121908",80 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 13:00:19,"3.10897, 101.6115383",162 meter,1
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 13:14:30,"3.1015833, 101.6126867",169 meter,2
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 13:17:35,"3.1099833, 101.616405",174 meter,4
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:46:53,"3.1112186, 101.6126461",60 meter,Sequence
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 13:32:55,"3.1102167, 101.596235",163 meter,1
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:46:53,"3.1112186, 101.6126461",60 meter,Sequence
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:46:25,"3.1112885, 101.612108",97 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 12:49:04,"3.109215, 101.6115883",176 meter,1
3,PETRONAS (OPP ) – JLN SS4B/10,"3.10790754483897, 101.60644396198",2019-06-02 12:51:49,"3.1074133, 101.608155",198 meter,2
4,RUMAH NO. 28/TOP SPEED – JLN SS4B/10,"3.10946518685449, 101.603688366379",2019-06-02 12:52:44,"3.10948, 101.6046817",110 meter,3
5,KUARTERS  PDRM – JLN SS4B/10,"3.10945518937511, 101.599495808303",2019-06-02 12:53:14,"3.1095133, 101.6006717",131 meter,4
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 12:53:34,"3.10951, 101.5975933",190 meter,5
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",2019-06-02 12:55:49,"3.1014583, 101.5990233",112 meter,6
8,P’PURI PKNS/JEJARI RESTORAN – JLN SS6/3,"3.10229623315117, 101.600390567679",2019-06-02 12:56:37,"3.102065, 101.6005283",30 meter,7
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",2019-06-02 12:56:52,"3.103515, 101.6004633",16 meter,8
10,P’RAYA GIANT/PERUMAHAN POLIS – JLN SS5/2,"3.10502300000004, 101.600682",2019-06-02 12:57:07,"3.1047167, 101.6003933",47 meter,9
11,SEK KEB KELANA JAYA – JLN SS5/2,"3.104795, 101.607201",2019-06-02 12:58:37,"3.1053767, 101.6057617",172 meter,10
12,RUMAH NO. 24 – JLN SS5/1,"3.10310809833283, 101.606752545247",2019-06-02 12:59:37,"3.103885, 101.607215",100 meter,11
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",2019-06-02 13:00:02,"3.1020683, 101.605975",124 meter,12
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",2019-06-02 13:01:07,"3.0992967, 101.60418",199 meter,13
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",2019-06-02 13:01:52,"3.0971608, 101.6048034",6 meter,14
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",2019-06-02 13:02:12,"3.0968333, 101.6051433",45 meter,15
17,YAYASAN TAIWAN BUDDHIST (OPP)– JLN 5A/14,"3.09602704547199, 101.606265160397",2019-06-02 13:02:27,"3.09624, 101.6060017",38 meter,16
18,MASJID HIDAYAH – JLN MAJLIS,"3.09899537677687, 101.607111585593",2019-06-02 13:03:12,"3.0974767, 101.6073067",169 meter,17
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 13:03:52,"3.102305, 101.608195",151 meter,18
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 13:04:32,"3.1015517, 101.6116417",188 meter,19
21,SIMPANG JLN SS1/38 – JLN SS1/36,"3.104599, 101.61648",2019-06-02 13:06:22,"3.1029667, 101.6165",181 meter,20
22,NURSERI (OPP)– JLN SS1/36,"3.108636, 101.616465",2019-06-02 13:07:32,"3.1075917, 101.6161233",122 meter,21
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 13:08:06,"3.1094233, 101.61716",88 meter,22
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:46:25,"3.1112885, 101.612108",97 meter,Sequence
