Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,S
25,HERBALINE – JLN 21/11,"3.11196181822721, 101.621221934795",2019-06-08 01:12:04,"3.1112567, 101.6220933",124 meter,24
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-08 01:13:24,"3.1128333, 101.620155",129 meter,25
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-08 01:14:14,"3.11472, 101.6213283",69 meter,26
27,BALAI POLIS SEA PARK – JLN SS2/24,"3.11712212470101, 101.623102230366",2019-06-08 01:15:59,"3.1164083, 101.6226883",91 meter,31
28,VISION SPACE – JLN SS 2/75,"3.11896809448934, 101.623816438545",2019-06-08 01:16:49,"3.1181217, 101.62425",105 meter,27
29,PUBLIC BANK – JLN SS 2/75,"3.1207195747442, 101.621832946834",2019-06-08 01:17:14,"3.1201017, 101.6225683",107 meter,28
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-08 01:18:54,"3.1182467, 101.619455",194 meter,29
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-08 01:23:44,"3.1123467, 101.6193917",165 meter,30
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-08 01:25:09,"3.10984, 101.6164883",189 meter,32
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-08 00:29:37,"3.1103656, 101.6133705",78 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-08 00:32:15,"3.1081717, 101.61123",55 meter,1
3,PETRONAS (OPP ) – JLN SS4B/10,"3.10790754483897, 101.60644396198",2019-06-08 00:32:55,"3.1074433, 101.60788",168 meter,2
4,RUMAH NO. 28/TOP SPEED – JLN SS4B/10,"3.10946518685449, 101.603688366379",2019-06-08 00:33:40,"3.1093617, 101.605165",165 meter,3
5,KUARTERS  PDRM – JLN SS4B/10,"3.10945518937511, 101.599495808303",2019-06-08 00:34:10,"3.1094917, 101.60051",113 meter,4
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-08 00:34:25,"3.1094817, 101.59751",180 meter,5
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",2019-06-08 00:36:30,"3.1015283, 101.5990067",112 meter,6
8,P’PURI PKNS/JEJARI RESTORAN – JLN SS6/3,"3.10229623315117, 101.600390567679",2019-06-08 00:37:25,"3.101875, 101.6004017",47 meter,7
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",2019-06-08 00:37:40,"3.1033183, 101.6004233",28 meter,8
10,P’RAYA GIANT/PERUMAHAN POLIS – JLN SS5/2,"3.10502300000004, 101.600682",2019-06-08 00:38:10,"3.104385, 101.6002983",82 meter,9
11,SEK KEB KELANA JAYA – JLN SS5/2,"3.104795, 101.607201",2019-06-08 00:39:45,"3.1053683, 101.605865",161 meter,10
12,RUMAH NO. 24 – JLN SS5/1,"3.10310809833283, 101.606752545247",2019-06-08 00:40:25,"3.10376, 101.6070933",81 meter,11
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",2019-06-08 00:40:55,"3.10171, 101.6058317",81 meter,12
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",2019-06-08 00:41:55,"3.0991817, 101.6040983",188 meter,13
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",2019-06-08 00:42:50,"3.0971967, 101.6046583",16 meter,14
